Word,freqInHam,freqInSpam
wthout,0.0004141644232760406,0.0013351134846461949
stereophonics,0.0002070822116380203,0.0026702269692923898
readers,0.0002070822116380203,0.004005340453938585
wishin,0.0006212466349140609,0.0013351134846461949
itxt,0.0004141644232760406,0.0013351134846461949
4th,0.001449575481466142,0.0013351134846461949
drinkin,0.0006212466349140609,0.0013351134846461949
250k,0.0002070822116380203,0.004005340453938585
pierre,0.0004141644232760406,0.0013351134846461949
heavy,0.0016566576931041624,0.0013351134846461949
listening2the,0.0004141644232760406,0.0013351134846461949
lttrs,0.0006212466349140609,0.0013351134846461949
asking,0.0024849865396562435,0.0013351134846461949
ritten,0.0004141644232760406,0.0013351134846461949
hotmail,0.0004141644232760406,0.0013351134846461949
login,0.0006212466349140609,0.00801068090787717
08712402779,0.0002070822116380203,0.0026702269692923898
pence,0.0002070822116380203,0.0053404539385847796
shortcode,0.0002070822116380203,0.0026702269692923898
2wu,0.0002070822116380203,0.0026702269692923898
prabu,0.0004141644232760406,0.0013351134846461949
suddenly,0.0004141644232760406,0.0013351134846461949
opponenter,0.0004141644232760406,0.0013351134846461949
83118,0.0002070822116380203,0.0026702269692923898
once,0.00683371298405467,0.0013351134846461949
08718720201,0.0002070822116380203,0.010680907877169559
u4,0.0002070822116380203,0.0053404539385847796
avent,0.0008283288465520812,0.0013351134846461949
1million,0.0002070822116380203,0.0026702269692923898
tnc,0.0002070822116380203,0.004005340453938585
flight,0.0006212466349140609,0.0026702269692923898
applausestore,0.0002070822116380203,0.0026702269692923898
funk,0.0002070822116380203,0.004005340453938585
conference,0.0004141644232760406,0.0013351134846461949
checked,0.001449575481466142,0.0013351134846461949
jumpers,0.0004141644232760406,0.0013351134846461949
unredeemed,0.0002070822116380203,0.006675567423230975
sport,0.0004141644232760406,0.00801068090787717
kit,0.0002070822116380203,0.0026702269692923898
pleasure,0.0016566576931041624,0.0013351134846461949
mobiles,0.0002070822116380203,0.017356475300400534
crisis,0.0006212466349140609,0.0013351134846461949
tie,0.0004141644232760406,0.0013351134846461949
xxx,0.0051770552909505075,0.01602136181575434
bhaji,0.0006212466349140609,0.0013351134846461949
100,0.0004141644232760406,0.05473965287049399
works,0.001449575481466142,0.0013351134846461949
leaf,0.0004141644232760406,0.0013351134846461949
fellow,0.0004141644232760406,0.0013351134846461949
chase,0.0006212466349140609,0.0013351134846461949
other,0.010561192793539035,0.006675567423230975
apologise,0.0008283288465520812,0.0013351134846461949
fgkslpo,0.0002070822116380203,0.0026702269692923898
sentence,0.0008283288465520812,0.0013351134846461949
b4u,0.0002070822116380203,0.0026702269692923898
ending,0.0004141644232760406,0.012016021361815754
elaya,0.0004141644232760406,0.0013351134846461949
specially,0.0002070822116380203,0.01335113484646195
alaipayuthe,0.0006212466349140609,0.0013351134846461949
beg,0.0004141644232760406,0.0026702269692923898
connect,0.0006212466349140609,0.004005340453938585
sry,0.0008283288465520812,0.0013351134846461949
somerset,0.0004141644232760406,0.0013351134846461949
walsall,0.0004141644232760406,0.0013351134846461949
dice,0.0004141644232760406,0.0013351134846461949
tim,0.0004141644232760406,0.0013351134846461949
week,0.012632014909919238,0.06809078771695594
take,0.026299440878028577,0.020026702269692925
juliana,0.0004141644232760406,0.0013351134846461949
interested,0.0016566576931041624,0.0026702269692923898
porn,0.0002070822116380203,0.0053404539385847796
gravy,0.0004141644232760406,0.0013351134846461949
08702490080,0.0002070822116380203,0.0026702269692923898
trouser,0.0004141644232760406,0.0013351134846461949
soo,0.0006212466349140609,0.0013351134846461949
probthat,0.0004141644232760406,0.0013351134846461949
luck,0.0016566576931041624,0.00801068090787717
stock,0.0012424932698281218,0.0013351134846461949
44,0.0002070822116380203,0.0026702269692923898
tacos,0.0006212466349140609,0.0013351134846461949
ami,0.0004141644232760406,0.0013351134846461949
imma,0.001449575481466142,0.0013351134846461949
logo,0.0002070822116380203,0.00801068090787717
unhappiness,0.0004141644232760406,0.0013351134846461949
slowly,0.002277904328018223,0.0013351134846461949
28days,0.0002070822116380203,0.004005340453938585
doctors,0.0004141644232760406,0.0013351134846461949
warned,0.0004141644232760406,0.0013351134846461949
abuse,0.0002070822116380203,0.0026702269692923898
ma,0.0012424932698281218,0.0013351134846461949
pavanaputra,0.0004141644232760406,0.0013351134846461949
stylish,0.0012424932698281218,0.0013351134846461949
po19,0.0002070822116380203,0.0026702269692923898
algarve,0.0002070822116380203,0.004005340453938585
comedy,0.0010354110581901014,0.0013351134846461949
2u2,0.0004141644232760406,0.0013351134846461949
cool,0.008490370677158831,0.004005340453938585
ú1,0.0002070822116380203,0.0026702269692923898
amp,0.01490991923793746,0.0013351134846461949
warner,0.0004141644232760406,0.0026702269692923898
cable,0.0004141644232760406,0.0013351134846461949
magical,0.0008283288465520812,0.0013351134846461949
situations,0.0004141644232760406,0.0013351134846461949
threats,0.0008283288465520812,0.0013351134846461949
revision,0.0006212466349140609,0.0013351134846461949
7876150ppm,0.0002070822116380203,0.004005340453938585
whr,0.0006212466349140609,0.0013351134846461949
panicks,0.0004141644232760406,0.0013351134846461949
chief,0.0004141644232760406,0.0013351134846461949
lol,0.015531165872851522,0.0013351134846461949
lord,0.0002070822116380203,0.0026702269692923898
watched,0.0004141644232760406,0.0013351134846461949
bruv,0.0006212466349140609,0.0013351134846461949
cuddling,0.0006212466349140609,0.0013351134846461949
dl,0.0004141644232760406,0.0013351134846461949
08719899229,0.0002070822116380203,0.0026702269692923898
bajarangabali,0.0004141644232760406,0.0013351134846461949
double,0.001449575481466142,0.018691588785046728
acid,0.0004141644232760406,0.0013351134846461949
08701213186,0.0002070822116380203,0.0026702269692923898
aburo,0.0006212466349140609,0.0013351134846461949
pudunga,0.0004141644232760406,0.0013351134846461949
online,0.004762890867674467,0.0013351134846461949
ogunrinde,0.0004141644232760406,0.0013351134846461949
08712405020,0.0002070822116380203,0.006675567423230975
elvis,0.0002070822116380203,0.0026702269692923898
2exit,0.0002070822116380203,0.0026702269692923898
izzit,0.0016566576931041624,0.0013351134846461949
rp176781,0.0002070822116380203,0.0026702269692923898
community,0.0004141644232760406,0.004005340453938585
assume,0.0010354110581901014,0.0013351134846461949
killing,0.0006212466349140609,0.0013351134846461949
arabian,0.0004141644232760406,0.0013351134846461949
surname,0.0004141644232760406,0.0013351134846461949
reg,0.0006212466349140609,0.0013351134846461949
bedroom,0.0016566576931041624,0.0026702269692923898
iam,0.0016566576931041624,0.0013351134846461949
reserved,0.0004141644232760406,0.0013351134846461949
anonymous,0.0002070822116380203,0.0026702269692923898
world,0.007247877407330711,0.0026702269692923898
install,0.0002070822116380203,0.0026702269692923898
mode,0.0020708221163802027,0.0013351134846461949
slovely,0.0004141644232760406,0.0013351134846461949
66,0.0004141644232760406,0.0013351134846461949
finding,0.0004141644232760406,0.0013351134846461949
meals,0.0004141644232760406,0.0013351134846461949
trends,0.0004141644232760406,0.0013351134846461949
mokka,0.0006212466349140609,0.0013351134846461949
wylie,0.0010354110581901014,0.0013351134846461949
voice,0.002277904328018223,0.0013351134846461949
54,0.0002070822116380203,0.004005340453938585
lay,0.0004141644232760406,0.0013351134846461949
chill,0.0008283288465520812,0.0013351134846461949
lotz,0.0004141644232760406,0.0013351134846461949
iron,0.0004141644232760406,0.0013351134846461949
brolly,0.0004141644232760406,0.0013351134846461949
terms,0.0006212466349140609,0.012016021361815754
obedient,0.0004141644232760406,0.0013351134846461949
reverse,0.0006212466349140609,0.0013351134846461949
afford,0.0004141644232760406,0.0013351134846461949
bugis,0.0016566576931041624,0.0013351134846461949
box39822,0.0002070822116380203,0.006675567423230975
dontmatter,0.0004141644232760406,0.0013351134846461949
romantic,0.0010354110581901014,0.0026702269692923898
living,0.0010354110581901014,0.0026702269692923898
goodmorning,0.0033133153862083247,0.0013351134846461949
deer,0.0004141644232760406,0.0013351134846461949
taxes,0.0004141644232760406,0.0013351134846461949
guai,0.0004141644232760406,0.0013351134846461949
garden,0.0002070822116380203,0.004005340453938585
haughaighgtujhyguj,0.0004141644232760406,0.0013351134846461949
realise,0.0006212466349140609,0.0013351134846461949
pours,0.0006212466349140609,0.0013351134846461949
collection,0.0002070822116380203,0.036048064085447265
tescos,0.0004141644232760406,0.0013351134846461949
tap,0.0006212466349140609,0.0013351134846461949
necklace,0.0006212466349140609,0.0013351134846461949
still,0.030855249534065023,0.010680907877169559
approx,0.0004141644232760406,0.0026702269692923898
activ8,0.0002070822116380203,0.0026702269692923898
boobs,0.0004141644232760406,0.0013351134846461949
dependable,0.0004141644232760406,0.0013351134846461949
80,0.0002070822116380203,0.0026702269692923898
slippery,0.0004141644232760406,0.0013351134846461949
calculated,0.0004141644232760406,0.0013351134846461949
hello,0.008490370677158831,0.006675567423230975
running,0.0010354110581901014,0.0026702269692923898
wifi,0.0006212466349140609,0.0013351134846461949
hides,0.0004141644232760406,0.0013351134846461949
dracula,0.0002070822116380203,0.004005340453938585
clever,0.0006212466349140609,0.0013351134846461949
wrk,0.0006212466349140609,0.0013351134846461949
exhaust,0.0006212466349140609,0.0013351134846461949
piss,0.0006212466349140609,0.0013351134846461949
walkin,0.0004141644232760406,0.0013351134846461949
samus,0.0004141644232760406,0.0013351134846461949
remembr,0.0006212466349140609,0.0013351134846461949
69698,0.0002070822116380203,0.0026702269692923898
drivin,0.0010354110581901014,0.0013351134846461949
grandma,0.0004141644232760406,0.0013351134846461949
skilgme,0.0002070822116380203,0.006675567423230975
research,0.0010354110581901014,0.0013351134846461949
wrongly,0.0004141644232760406,0.0013351134846461949
anniversary,0.0006212466349140609,0.0013351134846461949
minmobsmorelkpobox177hp51fl,0.0002070822116380203,0.0053404539385847796
progress,0.0004141644232760406,0.0013351134846461949
4my,0.0004141644232760406,0.0013351134846461949
bitch,0.0010354110581901014,0.0026702269692923898
db,0.0004141644232760406,0.0013351134846461949
tb,0.0008283288465520812,0.0026702269692923898
4882,0.0002070822116380203,0.004005340453938585
trade,0.0006212466349140609,0.0013351134846461949
mostly,0.0006212466349140609,0.0013351134846461949
waste,0.0016566576931041624,0.0013351134846461949
power,0.0016566576931041624,0.0013351134846461949
outreach,0.0004141644232760406,0.0013351134846461949
